Chapter;Title;Block Title;Block.Code;Sub.Code;Sub.Title;Code;Disease;NUM;Descripción
1;Certain infectious and parasitic diseases;Intestinal infectious diseases;A00;A00;Cholera;A000;Cholera due to Vibrio cholerae 01, biovar cholerae;0;
1;Certain infectious and parasitic diseases;Intestinal infectious diseases;A00;A00;Cholera;A001;Cholera due to Vibrio cholerae 01, biovar eltor;0;
1;Certain infectious and parasitic diseases;Intestinal infectious diseases;A00;A00;Cholera;A009;Cholera, unspecified;0;
1;Certain infectious and parasitic diseases;Intestinal infectious diseases;A00;A01;Typhoid and paratyphoid fevers;A010;Typhoid fever;0;
1;Certain infectious and parasitic diseases;Intestinal infectious diseases;A00;A01;Typhoid and paratyphoid fevers;A011;Paratyphoid fever A;0;
1;Certain infectious and parasitic diseases;Intestinal infectious diseases;A00;A01;Typhoid and paratyphoid fevers;A012;Paratyphoid fever B;0;
1;Certain infectious and parasitic diseases;Intestinal infectious diseases;A00;A01;Typhoid and paratyphoid fevers;A013;Paratyphoid fever C;0;
1;Certain infectious and parasitic diseases;Intestinal infectious diseases;A00;A01;Typhoid and paratyphoid fevers;A014;Paratyphoid fever, unspecified;0;
1;Certain infectious and parasitic diseases;Intestinal infectious diseases;A00;A02;Other salmonella infections;A020;Salmonella enteritis;0;
1;Certain infectious and parasitic diseases;Intestinal infectious diseases;A00;A02;Other salmonella infections;A021;Salmonella sepsis;0;
1;Certain infectious and parasitic diseases;Intestinal infectious diseases;A00;A02;Other salmonella infections;A022;Localized salmonella infections;0;
1;Certain infectious and parasitic diseases;Intestinal infectious diseases;A00;A02;Other salmonella infections;A028;Other specified salmonella infections;0;
1;Certain infectious and parasitic diseases;Intestinal infectious diseases;A00;A02;Other salmonella infections;A029;Salmonella infection, unspecified;0;
1;Certain infectious and parasitic diseases;Intestinal infectious diseases;A00;A03;Shigellosis;A030;Shigellosis due to Shigella dysenteriae;0;
1;Certain infectious and parasitic diseases;Intestinal infectious diseases;A00;A03;Shigellosis;A031;Shigellosis due to Shigella flexneri;0;
1;Certain infectious and parasitic diseases;Intestinal infectious diseases;A00;A03;Shigellosis;A032;Shigellosis due to Shigella boydii;0;
1;Certain infectious and parasitic diseases;Intestinal infectious diseases;A00;A03;Shigellosis;A033;Shigellosis due to Shigella sonnei;0;
1;Certain infectious and parasitic diseases;Intestinal infectious diseases;A00;A03;Shigellosis;A038;Other shigellosis;0;
1;Certain infectious and parasitic diseases;Intestinal infectious diseases;A00;A03;Shigellosis;A039;Shigellosis, unspecified;0;
1;Certain infectious and parasitic diseases;Intestinal infectious diseases;A00;A04;Other bacterial intestinal infections;A040;Enteropathogenic Escherichia coli infection;0;
1;Certain infectious and parasitic diseases;Intestinal infectious diseases;A00;A04;Other bacterial intestinal infections;A041;Enterotoxigenic Escherichia coli infection;0;
1;Certain infectious and parasitic diseases;Intestinal infectious diseases;A00;A04;Other bacterial intestinal infections;A042;Enteroinvasive Escherichia coli infection;0;
1;Certain infectious and parasitic diseases;Intestinal infectious diseases;A00;A04;Other bacterial intestinal infections;A043;Enterohaemorrhagic Escherichia coli infection;0;
