"";"Codigo_Distrito"
"1";"10101"
"2";"10102"
"3";"10103"
"4";"10104"
"5";"10105"
"6";"10106"
"7";"10107"
"8";"10108"
"9";"10109"
"10";"10110"
"11";"10111"
"12";"10201"
"13";"10202"
"14";"10203"
"15";"10301"
"16";"10302"
"17";"10303"
"18";"10304"
"19";"10305"
"20";"10306"
"21";"10307"
"22";"10308"
"23";"10309"
"24";"10310"
"25";"10311"
"26";"10312"
"27";"10313"
"28";"10401"
"29";"10402"
"30";"10403"
"31";"10404"
"32";"10405"
"33";"10406"
"34";"10407"
"35";"10408"
"36";"10409"
"37";"10501"
"38";"10502"
"39";"10503"
"40";"10601"
"41";"10602"
"42";"10603"
"43";"10604"
"44";"10605"
"45";"10606"
"46";"10607"
"47";"10701"
"48";"10702"
"49";"10703"
"50";"10704"
"51";"10705"
"52";"10706"
"53";"10801"
"54";"10802"
"55";"10803"
"56";"10804"
"57";"10805"
"58";"10806"
"59";"10807"
"60";"10901"
"61";"10902"
"62";"10903"
"63";"10904"
"64";"10905"
"65";"10906"
"66";"11001"
"67";"11002"
"68";"11003"
"69";"11004"
"70";"11005"
"71";"11101"
"72";"11102"
"73";"11103"
"74";"11104"
"75";"11105"
"76";"11201"
"77";"11202"
"78";"11203"
"79";"11204"
"80";"11205"
"81";"11301"
"82";"11302"
"83";"11303"
"84";"11304"
"85";"11305"
"86";"11401"
"87";"11402"
"88";"11403"
"89";"11501"
"90";"11502"
"91";"11503"
"92";"11504"
"93";"11601"
"94";"11602"
"95";"11603"
"96";"11604"
"97";"11605"
"98";"11701"
"99";"11702"
"100";"11703"
"101";"11801"
"102";"11802"
"103";"11803"
"104";"11804"
"105";"11901"
"106";"11902"
"107";"11903"
"108";"11904"
"109";"11905"
"110";"11906"
"111";"11907"
"112";"11908"
"113";"11909"
"114";"11910"
"115";"11911"
"116";"12001"
"117";"12002"
"118";"12003"
"119";"12004"
"120";"12005"
"121";"12006"
"122";"20101"
"123";"20102"
"124";"20103"
"125";"20104"
"126";"20105"
"127";"20106"
"128";"20107"
"129";"20108"
"130";"20109"
"131";"20110"
"132";"20111"
"133";"20112"
"134";"20113"
"135";"20114"
"136";"20201"
"137";"20202"
"138";"20203"
"139";"20204"
"140";"20205"
"141";"20206"
"142";"20207"
"143";"20208"
"144";"20209"
"145";"20210"
"146";"20211"
"147";"20212"
"148";"20213"
